ISO3_Code,Country,"Is Complain handling mechanism / Citizen Reporting / Grievance redressal mechanism / Corruption reporting available (Yes, No)",Brief Description,Link
AUT,Austria,Yes,Federal Competition Authority,https://report.whistleb.com/en/message/bwb
BGD,Bangladesh,Yes,Anti-Corruption Commission,https://acc.org.bd/site/page/4f567d5f-eb76-4e51-b6d0-070124a8a5d3/Complain-Lodging-Procedure-
BGD,Bangladesh,Yes,Bangladesh Financial Intelligence Unit (BFIU),https://www.bfiu.org.bd/index.php/lodge_complaint/index
BGD,Bangladesh,Yes,Bangladesh Public Procurement Authority (BPPA),https://cptu.gov.bd/contact-us.html
BGD,Bangladesh,Yes,National Board of Revenue,https://nbr.gov.bd/see-more-grs/eng
BGD,Bangladesh,Yes,Office of the Comptroller and Auditor General (OCAG),https://cag.org.bd/contact/raising-concern
BGD,Bangladesh,Yes,Information Commission grievance redress system,https://infocom.gov.bd/
BGD,Bangladesh,Yes,Bangladesh Securities and Exchange Commission (BSEC),https://sec.gov.bd/complainbox
BGD,Bangladesh,Yes,Grievance Redress System (GRS),https://grs.gov.bd/
BEL,Belgium,Yes,Belgian Police,https://www.police.be/5998/en/contact/insatisfait-de-nos-services/complaints-form
BEL,Belgium,Yes,Federal Ombudsman,https://www.federaalombudsman.be/en/whistleblowers/reporting-integrity-violations-or-breaches-of-law
BEL,Belgium,Yes,Competition Authority,https://www.meldpuntsocialefraude.belgie.be/en/index.html
BEL,Belgium,Yes,Federal Institute for the protection and promotion of human rights,https://www.federaalinstituutmensenrechten.be/en/whistleblowers
BRA,Brazil,Yes,Integrated Ombudsman and Access to Information Platform,https://falabr.cgu.gov.br/web/home
BRA,Brazil,Yes,Controler General,https://www.gov.br/cgu/pt-br/centrais-de-conteudo/campanhas/integridade-publica/denuncias
BRA,Brazil,Yes,Federal Court of Accounts,https://representacaov2.apps.tcu.gov.br/denuncie
BRA,Brazil,Yes,Federal Ministry of Finance,https://www.mpu.mp.br/governanca/integridade/mpf/sobre-a-integridade/canais-de-denuncia
BRA,Brazil,Yes,Office of the Public Prosecutor at the Federal Court of Accounts,https://mp.tcu.gov.br/fale-conosco/
BGR,Bulgaria,Yes,Anti-Corruption Commission,https://cacbg.bg/bg/izprati-signal
BGR,Bulgaria,Yes,Commission for the Confiscation of Illegally Acquired Property,https://ciaf.bg/bg/signali-zzlpspoin/red-za-podavane-na-signali
BGR,Bulgaria,Yes,Inspectorate of Ministry of Economics and Industry,https://www.mi.government.bg/en/anticorruption/contact-the-inspectorate/
BGR,Bulgaria,Yes,Public Financial Inspection Agency,https://www.adfi.minfin.bg/en/164
CAN,Canada,Yes,Office of the Public Sector Integrity Commissioner,https://www.psic-ispc.gc.ca/en/wrongdoing
CAN,Canada,Yes,Federal Anti-Corruption Unit Royal Canadian Mountain Police,https://rcmp.ca/en/federal-policing/economic-and-financial-crime/corruption#s2
CAN,Canada,Yes,Competition Bureau Canada,https://competition-bureau.canada.ca/en/contact-competition-bureau-canada/forms
CAN,Canada,Yes,Office of the Procurement Ombudsman,https://opo-boa.gc.ca/plaintesurvol-complaintoverview-eng.html
CAN,Canada,Yes,Financial Transactions and Reports Analysis Centre of Canada (FINTRAC),https://fintrac-canafe.canada.ca/guidance-directives/transaction-operation/str-dod/str-dod-eng
CHL,Chile,Yes,Office of the Comptroller General,https://www.contraloria.cl/web/estrategia-nacional-anticorrupcion/www.contraloria.cl/denuncia
CHL,Chile,Yes,Public Prosecutor´s Office,https://www.anticorrupcion.cl/web_site/bea/wlp/api/portlet/publish?context=/web_site/appmanager/portal/win_modal&portlet=html_denuncia
CHL,Chile,Yes,Transparency Portal,https://www.consejotransparencia.cl/en/home/what-should-i-do-if-i-am-not-satisfied/
CHL,Chile,Yes,Corruption Announcement,https://denunciacorrupcion.cl/
CHL,Chile,Yes,Undersecretariat for Crime Prevention,https://www.chileatiende.gob.cl/fichas/22611-programa-denuncia-seguro
CHN,China,Yes,Petition Office of the Central Commission for Discipline Inspection,https://www.ccdi.gov.cn/special/wyjb/index.html
CHN,China,Yes,Ministry of Public Security Reporting Center,https://12389.mps.gov.cn/
CHN,China,Yes,We Chat,
CHN,China,Yes,Ministry of Public Security,https://www.mps.gov.cn/n2254536/n4904356/index.html
CHN,China,Yes,National Financial Regulatory Administration,https://www.nfra.gov.cn/cn/view/pages/index/jijianjianchajubao.html
CHN,China,Yes,Office of the Central Ciberspace China,https://www.cac.gov.cn/hdfw/jjjcjb/A093806index_1.htm
CHN,China,Yes,National audit office,https://www.audit.gov.cn/n7/
CHN,China,Yes,Discipline Inspection and Supervision Work Committee of Central and State Organs,https://zygjjg.12388.gov.cn/
COL,Colombia,Yes,Anti-Corruption Portal Colombia (PACO),https://portal.paco.gov.co/index.php?pagina=denuncie
COL,Colombia,Yes,Colombian Financial Superintendency,https://www.superfinanciera.gov.co/publicaciones/10115327/como-denunciar/
COL,Colombia,Yes,Office of the Attorney General,https://www.fiscalia.gov.co/colombia/en/filing-a-report-about-corruption/
COL,Colombia,Yes,Dapre Citizen Grievance System,https://dapre.presidencia.gov.co/AtencionCiudadana/sistema-psqr/peticiones-sugerencias-quejas-reclamos
COL,Colombia,Yes,National Public Procurement Agency - Colombia Efficient Procurement,https://www.colombiacompra.gov.co/transparencia/denuncias-por-actos-de-corrupcion-2
COL,Colombia,Yes,National Infrastructure Agenxy,https://www.ani.gov.co/denuncias-de-corrupcion
COL,Colombia,Yes,Transnational Bribery Reporting Channel,https://www.supersociedades.gov.co/web/asuntos-economicos-societarios/canal-de-denuncias-por-soborno-transnacional
COL,Colombia,Yes,Administrative Department of Public Service,https://www1.funcionpublica.gov.co/denuncias-por-actos-de-corrupci%C3%B3n
CYP,Cyprus,Yes,Independent Authority Against Corruption,https://www.iaac.org.cy/iaac/iaac.nsf/planning02_en/planning02_en?opendocument
CYP,Cyprus,Yes,Corruption of Police Reporting Channel,https://www.gov.cy/en/service/reporting-anonymously-information-or-complaint-on-corruption-issues-by-members-of-the-police/
CYP,Cyprus,Yes,MOKAS,https://www.law.gov.cy/law/mokas/mokas.nsf/planning15_en/planning15_en?OpenDocument
CYP,Cyprus,Yes,Audit Office,https://www.audit.gov.cy/audit/audit.nsf/complaintspage_en/complaintspage_en?OpenDocument
CYP,Cyprus,Yes,Ombudsman,https://eforms.mof.gov.cy/eforms/eforms.nsf/complaintformombudsman_gr/complaintformombudsman_gr?OpenForm
CYP,Cyprus,Yes,Competition Protection Commission,https://www.competition.gov.cy/competition/competition.nsf/contact_en/contact_en?OpenDocument
CYP,Cyprus,Yes,Cyprus Securities and Exchange Commission,https://www.cysec.gov.cy/en-GB/investor-protection/non-regulated/
CYP,Cyprus,Yes,Public Audit Oversight Board,https://cypaob.gov.cy/en/whistleblowers/
CYP,Cyprus,Yes,Police whistleblowing channel,https://www.police.gov.cy/police/police.nsf/whistleblowers_en/whistleblowers_en?opendocument=
CZE,Czech Republic,Yes,Anti-Corruption Contact Centre,https://cenia.gov.cz/czech-environmental-information-agency/organisation-profile/anti-corruption-contact-centre/
CZE,Czech Republic,Yes,Department of Justice,https://oznamovatel.justice.cz
CZE,Czech Republic,Yes,Czech Trade Inspection Authority,https://coi.gov.cz/en/about-ctia/anticorruption-initiative/
CZE,Czech Republic,Yes,Prosecutor General Office,https://verejnazaloba.cz/en/prosecutor-generals-office/fight-against-corruption/foreign-bribery
CZE,Czech Republic,Yes,Whistleblowing Center,https://www.whistleblowingcenter.cz
DNK,Denmark,Yes,Foreign ministry,https://um.dk/en/danida/anti-corruption/report-corruption
DNK,Denmark,Yes,Ombudsman,https://www.ombudsmanden.dk/klage-til-ombudsmanden/klageskema
DNK,Denmark,Yes,Danish Financial Supervisory Authority,https://www.dfsa.dk/reporting/registration-of-contact-persons-reporting-via-fiona-online-to-the-danish-fsa
DOM,Dominican Republic,Yes,General Directorate of Internal Taxes (DGII),https://www.dgii.gov.do/Paginas/Denuncias-opiniones.aspx
DOM,Dominican Republic,Yes,Specialized Prosecutor's Office for the Prosecution of Administrative Corruption (PEPCA),https://denunciaspepca.pgr.gob.do/
DOM,Dominican Republic,Yes,General Directorate of Ethics and Governmental Integrity,https://disd.digeig.gob.do/
DOM,Dominican Republic,Yes,311 unified reporting portal,https://311.gob.do/todos-los-servicios/denuncia/
DOM,Dominican Republic,Yes,Ministry of Public Works,https://www.mopc.gob.do/retroalimentacion/#
DOM,Dominican Republic,Yes,Public Prosecutor´s Office,https://pgr.gob.do/servicios/denuncias/
DOM,Dominican Republic,Yes,Chamber of Accounts,https://www.camaradecuentas.gob.do/index.php/servicios/servicio-recepcion-de-denuncias
DOM,Dominican Republic,Yes,Superintendency of Banks,https://www.sb.gob.do/contacto/
ECU,Ecuador,Yes,Ministry of Economics and Finance,https://www.finanzas.gob.ec/denuncia-aqui-la-corrupcion/
ECU,Ecuador,Yes,Financial and Economic Analysis Unit (UAFE),https://www.uafe.gob.ec/denuncias-ciudadanas/
ECU,Ecuador,Yes,State Attorney General´s Office,https://www.fiscalia.gob.ec/buzon-de-transparencia-fge/
ECU,Ecuador,Yes,CLIC,https://www.cpccs.gob.ec/2020/04/con-clic-la-corrupcion-se-puede-denunciar-en-linea/
EST,Estonia,Yes,Police tipline,https://www.korruptsioon.ee/et/korruptsioonist-teavitamine/anna-vihje-politseile
EST,Estonia,Yes,Election Committee,https://is.erjk.ee/
EST,Estonia,Yes,Internal Security Service 24/7 hotline,https://kapo.ee/en/content/corruption/
EST,Estonia,Yes,Estonian Tax and Customs Board,https://www.emta.ee/en/business-client/board-news-and-contact/contacts/fraud-hotline
EST,Estonia,Yes,National audit office,https://www.riigikontroll.ee/Kontaktid/tabid/198/language/en-US/Default.aspx
EST,Estonia,Yes,National Criminal Police,https://www.politsei.ee/en/corruption-offences
FIN,Finland,Yes,Ombudsman,https://www.oikeusasiamies.fi/en/web/guest/complaints-to-the-ombudsman
FIN,Finland,Yes,Chancellor of Justice,https://oikeuskansleri.fi/en/complaints
FIN,Finland,Yes,National-audit office,https://www.vtv.fi/en/naof/complaints-and-irregularities/
FIN,Finland,Yes,Ministry for foreign affairs,https://vaarinkayttoilmoitus.fi/#/?lang=en
FIN,Finland,Yes,Competition and Consumer authority,https://kuti.kkv.fi/Kutiweb/Kilpailu/Ilmoitus.aspx?k=3
FIN,Finland,Yes,Tax Administration,https://www.vero.fi/en/About-us/contact-us/efil/reporting-suspected-tax-evasion/
FIN,Finland,Yes,Finnish Supervisory Authority,https://www.finanssivalvonta.fi/en/about-the-fin-fsa/report-suspected-infringement/
FRA,France,Yes,French Anti-Corruption Agency,https://www.agence-francaise-anticorruption.gouv.fr/fr/faire-signalement-lagence-francaise-anticorruption
FRA,France,Yes,French Agency for Development,https://www.afd.fr/en/combating-corruption#anchor-rich-text7068
FRA,France,Yes,Financial Market Authority,https://www.amf-france.org/en/forms-and-declarations/whistleblowing
FRA,France,Yes,French Public Service,https://www.service-public.fr/particuliers/vosdroits/F34665
FRA,France,Yes,High Authority for the Transparency of Public Life,https://www.hatvp.fr/contacter-la-haute-autorite/
FRA,France,Yes,French Republic- Defender of Rights Page,https://www.defenseurdesdroits.fr/defender-rights-311
DEU,Germany,Yes,Bundeskartellamt,https://www.bkms-system.net/bkwebanon/report/clientInfo?cin=2bkarta151&c=-1&language=eng
DEU,Germany,Yes,"Federal Financial Supervisory Agency (BaFin),",https://www.bafin.de/EN/DieBaFin/Hinweisgeberstelle/hinweisgeberstelle_node_en.html
DEU,Germany,Yes,Police online portal (BKA),https://portal.onlinewache.polizei.de/de/
GRC,Greece,Yes,National Transparency Authority,https://aead.gr/complaints-eng/
GRC,Greece,Yes,National Authority for Transparency,https://fiu.aml-authority.gov.gr/en/contact/
GRC,Greece,Yes,The Greek Ombudsman,https://www.synigoros.gr/en/anafora/ipovoli-anaforas
GRC,Greece,Yes,Fraud Line,https://fraudline.gr/en/
HUN,Hungary,Yes,Office of the Commissioner for Fundamental Rights,https://www.ajbh.hu/en/web/ajbh-en/lodge-a-complaint
HUN,Hungary,Yes,National Protection Service,https://www.nvsz.hu/
HUN,Hungary,Yes,Hungarian Integrity Authority,https://integritashatosag.whispli.com/lp/bejelentes?locale=en#refresh
IND,India,Yes,Central Vigilance Commission,https://portal.cvc.gov.in/
IND,India,Yes,Centralised Public Grievance Redress and Monitoring System (CPGRAMS),https://pgportal.gov.in/
IND,India,Yes,Lokpal India,https://lokpal.gov.in/
IND,India,Yes,Cental Bureau of Investigation - Anti Corruption Unit,https://cbi.gov.in/
IND,India,Yes,Department of Administrative Reforms and Public Grievances (DARPG),https://pgportal.gov.in/
IND,India,Yes,National Financial Reporting Authority,https://nfra.gov.in/complaints/
IDN,Indonesia,Yes,Attorney General’s Office (AGO / Kejaksaan Agung),
IDN,Indonesia,Yes,National Police (Polri – Bareskrim),
IDN,Indonesia,Yes,Badan Pemeriksa Keuangan (BPK – Audit Board),
IDN,Indonesia,Yes,"Ombudsman, website whistleblowing portal",https://wbs2.ombudsman.go.id/#/
IDN,Indonesia,Yes,Ministry of Finance (Kementerian Keuangan – Kemenkeu),https://www.kemenkeu.go.id/hubungi-ka
IDN,Indonesia,Yes,Election Commission (KPU),https://www.lapor.go.id/hubungi
IDN,Indonesia,Yes,SP4N LAPOR!,https://www.lapor.go.id/hubungi
IRL,Ireland,Yes,Police Anti-Corruption Unit,https://www.garda.ie/en/about-us/organised-serious-crime/garda-national-economic-crime-bureau/confidential-line-for-the-reporting-of-bribery-and-corruption-gnecb.html
IRL,Ireland,Yes,Criminal Assets Bureau,https://www.cab.ie/about-us/
IRL,Ireland,Yes,Corporate Enforcement Authority,https://cea.gov.ie/en-ie/What-We-Do/Complaints-Concerns-Protected-Disclosures
IRL,Ireland,Yes,Office of Comptroller and Auditor General,https://www.audit.gov.ie/en/contact/issues%20of%20concern%20about%20a%20body%20we%20audit/
IRL,Ireland,Yes,Standards in Public Office Commission (SIPO),https://sipo.ie/en/publication/make-a-complaint/?referrer=https://www.sipo.ie/en/service/a61c0-make-a-complaint/
IRL,Ireland,Yes,Information Commissioner,https://oic.ie/en/collection/3ad3d-apply-for-a-review/
IRL,Ireland,Yes,Ombudsman,https://ombudsman.ie/en/publication/000df-making-a-complaint/
IRL,Ireland,Yes,The Anti-Bribery and Corruption Unit Garda,https://www.anticorruption.ie/complaints/
ITA,Italy,Yes,National Anti-Corruption Authority (ANAC) ,https://www.anticorruzione.it/
ITA,Italy,Yes,Financial Police Unit,https://www.gdf.gov.it/
ITA,Italy,Yes,National Anti-Mafia and Anti-Terrorism Directorate,https://www.procuracastello.it/dna
JPN,Japan,Yes,Ministry for Foreign Affairs,https://www.contact.mofa.go.jp/form/pub/mofaj-oda/fusei_en
JPN,Japan,Yes, Japan International Cooperation Agency (JICA),https://www.jica.go.jp/english/inquiry/report.html
KAZ,Kazakhstan,Yes,Supreme Audit Chamber,https://www.gov.kz/memleket/entities/esep/contacts?lang=en
KAZ,Kazakhstan,Yes,National hotline at 1424,https://www.gov.kz/memleket/entities/antikor?lang=en
KAZ,Kazakhstan,Yes,"115: Unified grievance hotline",
KAZ,Kazakhstan,Yes,Compliance Control Service,https://gov4c.kz/en/contacts/kontaktnaya-informatsiya/
KEN,Kenya,Yes,Ethics and Anti-Corruption Commission,https://eacc.go.ke/en/default/report-corruption/
KEN,Kenya,Yes,Ombudsman,https://www.ombudsman.go.ke/
KEN,Kenya,Yes,Public Procurement Regulatory Authority,https://ppra.go.ke/
KEN,Kenya,Yes,Office of the Controller of Budget,https://cob.go.ke/contacts-us/
KEN,Kenya,Yes,Office of the Director of Public Prosecutions,https://odpp.go.ke/
KEN,Kenya,Yes,Internal Auditor General Department,https://www.internalaudit.go.ke/whistle-blowing/
LVA,Latvia,Yes,Corruption Preventing and Combating Bureau,https://www.knab.gov.lv/en/whistleblowing
LVA,Latvia,Yes,Corruption Preventing and Combating Bureau,https://www.knab.gov.lv/en/report-violation
LVA,Latvia,Yes,State police,https://www.vp.gov.lv/en/how-report-police
LVA,Latvia,Yes,FInancial intelligence unit,https://goaml.fid.gov.lv/en
LVA,Latvia,Yes,State Audit Office,https://www.trauksmescelejs.lv
LTU,Lithuania,Yes,Ethic commission,https://vtek.lt/en/about-us/contacts/
LTU,Lithuania,Yes,Special Investigation Service (STT),https://www.stt.lt/pateikti-pranesima-apie-korupcija/7425
LTU,Lithuania,Yes,Financial Crime Investigation service,https://fntt.lrv.lt/en/contacts/
LTU,Lithuania,Yes,State Data Agency,https://vda.lrv.lt/en/corruption-prevention/where-and-how-to-report-corruption/
LUX,Luxembourg,Yes,Luxembourg Competition authority,https://www.services-publics.lu/login/TAMLoginServlet?TAM_OP=login&USERNAME=unauthenticated&ERROR_CODE=0x00000000&ERROR_TEXT=HPDBA0521I%20%20%20Successful%20completion&METHOD=GET&URL=%2Ffpgsa-fo%2Fjsp%2Factivate_service%3FserviceType%3DECO_AC_ALERTE_GSA%26xlang%3Den&REFERER=https%3A%2F%2Fguichet.public.lu%2F&HOSTNAME=demarches.services-publics.lu&AUTHNLEVEL=&FAILREASON=&PROTOCOL=https
LUX,Luxembourg,Yes,Citizin Portal,https://guichet.public.lu/en/citoyens/justice/lanceurs-alerte/alerte-office-signalements.html
LUX,Luxembourg,Yes,Commission of Surveillance in the Finance Sector,https://whistleblowing.apps.cssf.lu/index.html?language=en
LUX,Luxembourg,Yes,National Commission for Data Protection,https://cnpd.public.lu/en/support/lanceurs-alerte.html
MKD,Macedonia,Yes,"Court Portal of the Republic of North Macedonia",http://www.sud.mk/wps/portal/osskopje1/sud/bl/podnesi-pretstavka/podnesi%20pretstavka/!ut/p/z1/tVLLTsMwEPyVXnJMvX25LrdQ9aHSqoIS2viCnMRNTRM7OG4CfD2OkEC0PIQq7IO1q9nZ2fUgijaISlaKhBmhJEttHFB8jyfdLpArmIO_6oE3ugQC_WVrgjFafwaQ1c2lBUCf3A48mIwB0Z_r7xBFNJImNzsU5IcwFdF9tnegOMQOhPpFNFIh96oUDuSam8Kwci_qQMWSF6LxnmQ1UR6JGAUxtNsdhsHFJCRut8cjd4Aj5m4xhK36xhE7Fn6qrBYO3xwPbD39DTJDNElV-LZGT4YdkiCq-ZZrrpsHbdM7Y_LiwgEHqqpqJkolKW_qgwNfVexUYdDmExAFdor-xxTL6bgPnj9q9Txy3V76XbQuBa-QL5XOrI7VH5c0heMOR3sa4TM7_Ey_aP0r_QjOpJ_9Zm_7jeLh8ZF61uRKGv5kf_A8l1vGtl4MF9YYOTM7V8itspynwDzzM9J5duXLnK_dYFZW1e02G4akftakeAWyl_tT/dz/d5/L2dBISEvZ0FBIS9nQSEh/?urile=wcm%3Apath%3A%2Fpublic_mk%2Fsud%2Fbrzi%2Blinkovi%2Fpretstavkii%2Fpodnesi%2Bpretstavka
MKD,Macedonia,Yes,State Audit Office,https://dzr.mk/en/contact-information
MKD,Macedonia,Yes,Ombudsman,https://ombudsman.mk/Homepage/WORKING_ON_COMPLAINTS/Opinions_and_suggestions.aspx
MKD,Macedonia,Yes,Ministry of the Interior,https://mvr.gov.mk/en-GB/ministerstvo/prijavete-nesoodvetno-postapuvanje
MLT,Malta,Yes,Commissioner for Standards in Public life,https://standardscommissioner.mt/complaints/
MLT,Malta,Yes,National Audit Office,https://nao.gov.mt/contact-us/
MLT,Malta,Yes,Internal Audit and Investigations Department,https://iaid.gov.mt/en/the-department/report-suspected-fraud-irregularities/
MLT,Malta,Yes,Malta Financial Services Authority,https://www.mfsa.mt/about-us/contact/
MLT,Malta,Yes,Ombudsman,https://ombudsman.org.mt/how-to-make-a-complaint/
MLT,Malta,Yes,Tax & Customs Administration,https://mtca.gov.mt/1/top-level-menu-bar/contact-us/contact-form
MEX,Mexico,Yes,Comprehensive Citizen Complaints System (SIDEC),https://sidec.funcionpublica.gob.mx/#!/home#top
MEX,Mexico,Yes,"Specialized Prosecutor's Office for Combating Corruption (FECC)",https://www.fgr.org.mx/swb/FGR/FEMCC
MEX,Mexico,Yes,Attorney General´s Office of the Republic (AFS),https://cedac.fgr.org.mx/ATENCION/
MEX,Mexico,Yes,Federal Audit Office (ASF),https://participacionciudadana.asf.gob.mx/index/index.html
MEX,Mexico,Yes,Citizens Platform for Internal and External Corruption Alerts ,https://alertadores.funcionpublica.gob.mx/
MEX,Mexico,Yes,National Banking and Securities Commission (CNBV),https://www.cnbv.gob.mx/Paginas/Quejas-y-Denuncias-de-ENS.aspx
MEX,Mexico,Yes,Tax service (SAT),https://www.gob.mx/sat/acciones-y-programas/haz-tu-denuncia
MDA,Moldova,Yes,National Anti-Corruption Centre,https://cna.md/en/corruption-case
MDA,Moldova,Yes,Anti-Corruption Prosecutor Office,https://procuratura.md/anticoruptie/en/sesizare#pasii
MDA,Moldova,Yes,National Anti-Corruption Centre,https://cna.md/en/phone
MDA,Moldova,Yes,National Anti-Corruption Centre,https://cna.md/en/writing
NLD,Netherlands,Yes,Tax Administration Authority,https://www.fiod.nl/en/i-want-to-report-fraud/
NLD,Netherlands,Yes,House for Whistleblowers,https://www.huisvoorklokkenluiders.nl/service/contact
NLD,Netherlands,Yes,Netherlands Authority for the Financial Markets,https://www.afm.nl/en/contact
NLD,Netherlands,Yes,Government of Netherlands,https://www.government.nl/contact/making-a-complaint
NLD,Netherlands,Yes,National Ombudsman,https://www.nationaleombudsman.nl/international/file-complaint/your-complaint
NLD,Netherlands,Yes,Ombudsman,https://www.ombudsmanmetropool.nl/nl/
NOR,Norway,Yes,Police,https://tips.politiet.no/app/korrupsjon/?locationId=2d2d44a3-6fa1-49c2-bd6c-63251216efc4
NOR,Norway,Yes,Financial Supervisory Unit,https://finanstilsynet.whistleblowernetwork.net
NOR,Norway,Yes,Tax Administration Authority,https://www.skatteetaten.no/tipsoss/skattavgift/
NOR,Norway,Yes,Norwegian Competition Authority,https://konkurransetilsynet.no/tips/tips-oss/
PRY,Paraguay,Yes,"National Observatory of Political Financing",https://onafip.tsje.gov.py/control-ciudadano
PRY,Paraguay,Yes,Attorney General,https://www.contraloria.gov.py/index.php/centro-de-atencion-al-ciudadano/centro-de-atencion-al-ciudadano
PRY,Paraguay,Yes,"Internal Anti-Corruption Complaints Platform of the Public Prosecutor´s Office",https://ministeriopublico.gov.py/denuncia/index.html
PRY,Paraguay,Yes,Directorate of Transparency and Anti-Corruptionof the Superior Electoral Court,https://www.tsje.gov.py/direccion-transparencia-y-anticorrupcion.html
PRY,Paraguay,Yes,General Directorate of Transparency and Anti-Corruption,https://www.mef.gov.py/en/node/1487
PRY,Paraguay,Yes,National Anti-Corruption Secreteriat ,https://www.ferrere.com/en/news/paraguay-new-channels-created-to-report-corruption/
PER,Peru,Yes,Ministry of Justice,https://www.gob.pe/11823-ministerio-de-justicia-y-derechos-humanos-consejo-de-supervigilancia-de-fundaciones
PER,Peru,Yes,Prevention of Money-Laundering Unit,https://www.sbs.gob.pe/prevencion-de-lavado-activos/Informa-UIF
PER,Peru,Yes,Government of Peru,https://www.gob.pe/institucion/contraloria/campañas/6643-denuncias-ciudadanas-a-traves-del-formulario-virtual?utm_source=chatgpt.com
PER,Peru,Yes,Governmental Citizen Complaints,https://denuncias.servicios.gob.pe
POL,Poland,Yes,Cetral Anti-Corruption Bureau,"https://www.cba.gov.pl/en/contact/6,Contact.html"
POL,Poland,Yes,The Polish Police,"https://info.policja.pl/ine/for-foreigners/crimes/192216,Crimes.html"
PRT,Portugal,Yes,Council of Corruption Prevention,https://www.cpc.tcontas.pt/denuncia.html
PRT,Portugal,Yes,The mechanism for Anti-Corruption,https://mec-anticorrupcao.pt/canal-de-denuncias
PRT,Portugal,Yes,Ombudsman,https://www.provedor-jus.pt/quem-somos/perguntas-frequentes/submeter-queixa/
PRT,Portugal,Yes,European Economic Area Financial Mechanism Portugal,https://www.eeagrants.gov.pt/en/report-irregularities/
PRT,Portugal,Yes,The Portugese Competition Authority,https://www.concorrencia.pt/en/faq/how-can-i-report-anti-competitive-practices
KOR,Republic of Korea,Yes,Anti-Corruption and Civil Rights Commission,https://www.epeople.go.kr/petition/pps/pps.npaid
KOR,Republic of Korea,Yes,E-people Korea,https://www.epeople.go.kr/petition/pps/pps.npaid
KOR,Republic of Korea,Yes,Corruption Investigation Office for High-Ranking Officials (CIO),https://cio.go.kr/content/265
KOR,Republic of Korea,Yes,Board of Audits and Inspection,https://www.bai.go.kr/bai_eng/others/request
KOR,Republic of Korea,Yes,Financial Services Commission ,https://www.fsc.go.kr/pa030101
KOR,Republic of Korea,Yes,Clean government portal,https://www.clean.go.kr/menu.es?mid=a20107030100
KOR,Republic of Korea,Yes,Financial Intelligence Unit (KoFIU),https://report.fiu.go.kr/
KOR,Republic of Korea,Yes,Korea Trade Commission,https://www.ktc.go.kr/en/pageLink.do?link=/contents/en/EG24000
KOR,Republic of Korea,Yes,Tax Service,https://www.nts.go.kr/english/cm/cntnts/cntntsView.do?mi=10797&cntntsId=8330
ROU,Romania,Yes,Anti-Corruption General Directorate,https://www.mai-dga.ro/eng/e-petition
