ISO3_Code,Country,Main Country Profile Link,Review Cycle 1 - Summary,Review Cycle 1 - PDF Link,Review Cycle 2 - Summary,Review Cycle 2 - Link
BGR,Bulgaria,https://www.unodc.org/corruption/en/country-profiles/data/BGR.html,"The review noted reforms to the country's penal system and the establishment of institutions such as Commission for Prevention and Counteraction against Corruption (CPCC) and Centre for Prevention and Counteraction of Corruption and Organized Crime (BORKOR). The legal framework criminalizes bribery, trading in influence, embezzlement, abuse of functions, and money laundering, and includes asset declaration and conflict-of-interest regulations. However, the review identified gaps, including the absence of illicit enrichment provisions, incomplete coverage of private sector offences, limited whistleblower protection, weak sanctions for legal persons, and outdated “crimes in office” provisions. It recommended clarifying bribery legislation, strengthening judicial accountability, expanding asset forfeiture measures, improving inter-agency coordination, and enhancing extradition, mutual legal assistance, and joint investigation mechanisms.",https://www.unodc.org/documents/treaties/UNCAC/WorkingGroups/ImplementationReviewGroup/ExecutiveSummaries/V1187232eCorr1Corr2.pdf,"The review noted Belgium’s preventive measures on integrity, whistleblower protection, procurement, conflicts of interest, asset declarations, and anti-money laundering (AML), implemented by bodies such as the Federal Ethics and Deontology Committee (BEDA), the Federal Selection Office (SELOR), the Financial Intelligence Processing Unit (CTIF-CFI), and the Federal Public Service for Strategy and Coordination (OCSC). Good practices included integrity surveys, training for officials in sensitive positions, reporting channels for companies operating abroad, and strong international cooperation. However, the review identified challenges related to the limited independence of key bodies, weak verification of asset declarations, inconsistent conflict-of-interest rules, absence of non-conviction-based confiscation, poor asset recovery data, and unclear avenues for foreign States to claim assets. It recommended legislative reforms, stronger oversight, and clearer procedures for asset return.",https://www.unodc.org/documents/treaties/UNCAC/WorkingGroups/ImplementationReviewGroup/10-14June2024/CAC-COSP-IRG-II-5-1-Add.1/2402479E.pdf
CAN,Canada,https://www.unodc.org/corruption/en/country-profiles/data/CAN.html,"The review observed that the legal framework has been reinforced through the Criminal Code, the CFPOA, the AML and Extradition Acts, with enforcement led by the Royal Canadian Mounted Police (RCMP’s) International Anti-Corruption Unit. It criminalizes bribery (domestic, foreign, and private sector), trading in influence, embezzlement, money laundering, abuse of functions, and obstruction of justice, while also establishing liability for legal persons. Notable good practices include the abolition of facilitation payments, strong confiscation powers, the absence of statutes of limitations, and robust witness protection measures. Remaining challenges include limited reporting from the private sector, the need to strengthen whistleblower protections, and the importance of fostering deeper cooperation with civil society and private actors.",https://www.unodc.org/documents/treaties/UNCAC/WorkingGroups/ImplementationReviewGroup/ExecutiveSummaries/V1400913e.pdf,In progress,
CHL,Chile,https://www.unodc.org/corruption/en/country-profiles/data/CHL.html,"Despite being perceived as a low-corruption country, the review recognizes the country for strengthening its legal framework through reforms that introduced liability of legal persons, tightened bribery and tax legislation, broadened money-laundering offences, and established protections for whistleblowers. Key enforcement institutions such as the Office of the Comptroller-General and the Public Prosecution Service, supported by specialized units and witness protection measures, were highlighted. However, the review identified gaps, including the limited scope of private sector bribery, incomplete coverage of predicate offences for money laundering, weak provisions on obstruction of justice, and the need for clearer regulations on asset freezing, immunities, and investigative techniques. It recommends further legal refinements and stronger mechanisms for cooperation.",https://www.unodc.org/documents/treaties/UNCAC/WorkingGroups/ImplementationReviewGroup/ExecutiveSummaries/V1186003e.pdf,"The review strengthened its anti-corruption framework through the Comptroller General’s Office, Integrity Commission, and Financial Analysis Unit, with measures such as the National Strategy on Public Integrity, open government plans, asset and interest declarations, and integrity systems across public institutions. Progress includes procurement reforms, transparency laws, and anti-money-laundering measures, but challenges remain in managing conflicts of interest, regulating high-risk positions, training procurement staff, establishing a beneficial ownership register, and extending oversight to non-financial professions. On asset recovery, Chile engages in international networks but lacks comprehensive legislation, non-conviction-based confiscation, and clear rules for asset return, prompting recommendations to strengthen legal frameworks, improve scrutiny of politically exposed persons, and expand cooperation",https://www.unodc.org/documents/treaties/UNCAC/WorkingGroups/ImplementationReviewGroup/28Aug-6Sep2024/CAC-COSP-IRG-II-4-1-Add.12/2411349E.pdf
CHN,China,https://www.unodc.org/corruption/en/country-profiles/data/CHN.html,"The review noted progress in criminalizing bribery, embezzlement, abuse of functions, money laundering, and illicit enrichment, backed by specialized anti-corruption institutions and large-scale enforcement efforts. Good practices included robust asset confiscation measures, the removal of ministerial approval requirements, and active participation in international cooperation. However, gaps remain, particularly in ensuring comprehensive coverage of foreign bribery and trading in influence, expanding liability for legal persons, strengthening witness and whistleblower protections, and adopting more comprehensive mutual legal assistance (MLA) and expedited extradition procedures.",https://track.unodc.org/uploads/documents/UNCAC/WorkingGroups/ImplementationReviewGroup/19-23June2017/CAC-COSP-IRG-I-4-1-Add.49-Rev.1/2510448E.pdf,In progress,
COL,Colombia,https://www.unodc.org/corruption/en/country-profiles/data/COL.html,"The review highlighted progress through the Anti-Corruption Statute, a national integrity policy, and institutions such as the Transparency Secretariat, Prosecutor’s Office, and Comptroller-General. The legal framework criminalizes bribery, embezzlement, illicit enrichment, trading in influence, and money laundering, and includes measures for asset confiscation, witness protection, and private sector engagement. However, the review noted gaps in foreign bribery, private sector offences, obstruction of justice, liability of legal persons, and asset recovery. It also emphasized the need to strengthen international cooperation through better coordination, clearer procedures, and stronger whistleblower protection.",https://www.unodc.org/documents/treaties/UNCAC/WorkingGroups/ImplementationReviewGroup/ExecutiveSummaries/V1406898-1e.pdf,"Colombia was commended for strengthening its anti-corruption framework through transparency legislation, integrity codes, procurement reforms, asset declaration systems, business ethics programmes, and the establishment of a beneficial ownership register. Key actors such as the Transparency Secretariat, the Office of the Comptroller General, and the Counsel General were noted, alongside measures supporting anti-money laundering efforts and citizen participation. Nonetheless, the review highlighted challenges including weak whistleblower protection, limited verification of asset declarations, gaps in procurement oversight, and insufficient AML obligations for notaries. In the area of asset recovery, the review recommended stronger mechanisms for freezing assets at the request of foreign jurisdictions, enhanced scrutiny of politically exposed persons, and more effective systems to ensure the full",https://track.unodc.org/uploads/documents/UNCAC/WorkingGroups/ImplementationReviewGroup/16-20June2025/CAC-COSP-IRG-II-4-1-Add.16/2502688E.pdf
HRV,Croatia,https://www.unodc.org/corruption/en/country-profiles/data/HRV.html,"The review highlighted progress through the establishment of a strong framework comprising the Criminal Code, AML legislation, procurement regulations, and Office for the Suppression of Corruption and Organized Crime (USKOK) as the specialized anti-corruption body. The framework criminalizes bribery (public, foreign, and private), trading in influence, embezzlement, abuse of functions, money laundering, obstruction of justice, and provides for liability of legal persons, supported by confiscation mechanisms, witness protection, and active international cooperation. Nonetheless, gaps persist in addressing illicit enrichment, whistleblower protection, the scope of liability, and inter-agency coordination. The recommendations call for legislative reforms, broader legal definitions, suspension of statutes of limitation, and enhanced technical capacity.",https://www.unodc.org/documents/treaties/UNCAC/WorkingGroups/ImplementationReviewGroup/ExecutiveSummaries/V1253076e.pdf,"The review noted Croatia’s reforms under the second UNCAC cycle, including anti-corruption strategies, conflict-of-interest rules, asset declarations, procurement measures, whistleblower protections, and anti-money laundering (AML) laws, implemented by institutions such as the Ministry of Justice, the Commission for the Resolution of Conflicts of Interest (CRCI), the Anti-Money Laundering Office (AMLO), and the Office for the Suppression of Corruption and Organized Crime (USKOK). Good practices included public consultations on legislation, e-procurement systems, beneficial ownership and bank account registers, and strong international cooperation. However, the review highlighted challenges in the scope of conflict-of-interest rules, CRCI’s capacity, verification of declarations, whistleblower protection, regulation of political finance and lobbying, procurement transparency, and asset return mechanisms. It recommended legal reforms, stronger monitoring, and enhanced inter-agency cooperation.",https://www.unodc.org/documents/treaties/UNCAC/WorkingGroups/ImplementationReviewGroup/12-16June2023/CAC-COSP-IRG-II-3-1-Add.9/2301653E.pdf
CYP,Cyprus,https://www.unodc.org/corruption/en/country-profiles/data/CYP.html,"The review noted the establishment of a framework grounded in the Constitution, the Criminal Code, the AML Law, and oversight bodies such as Unit for Combating  Money-Laundering (MOKAS) and the Attorney General. The framework criminalizes bribery, trading in influence, private sector corruption, embezzlement, money laundering, obstruction of justice, and establishes liability for legal persons, with provisions for confiscation and witness protection. However, challenges remain, including overlapping legislation, weak whistleblower protections, limited corporate sanctions, insufficient data, and inadequate asset recovery procedures. The recommendations therefore call for harmonizing laws, strengthening protections, improving coordination, and clarifying rules on extradition and mutual legal assistance.",https://www.unodc.org/documents/treaties/UNCAC/WorkingGroups/ImplementationReviewGroup/ExecutiveSummaries/V1604727e.pdf,"The review noted Cyprus’s progress under the second UNCAC cycle through a national anti-corruption strategy, an independent authority, codes of conduct, whistleblower protection, procurement reforms, transparency tools, and anti-money laundering (AML) measures, overseen by bodies such as the Ombudsman, the Auditor General, and the Unit for Combating Money Laundering (MOKAS). Good practices included e-procurement, the ARIADNE e-government portal, beneficial ownership registers, ISO 37001 certification incentives, and recognition of foreign confiscation orders. However, the review identified challenges such as weak conflict-of-interest systems, limited merit-based recruitment, insufficient ethics training, lack of private sector measures, poor asset verification, and unclear asset return rules. It recommended legal reforms, stronger protections, and clearer recovery procedures.",https://www.unodc.org/documents/treaties/UNCAC/WorkingGroups/ImplementationReviewGroup/12-16June2023/CAC-COSP-IRG-II-1-1-Add.22/2306338E.pdf
CZE,Czech Republic,https://www.unodc.org/corruption/en/country-profiles/data/CZE.html,"The review observed that the country implements the convention through the Criminal Code, Criminal Procedure Code, laws on legal persons, and international cooperation, with institutions such as the Supreme Public Prosecutor’s Office, specialized police, and Financial Intelligence Unit (FIU). It criminalizes bribery, trading in influence, embezzlement, abuse of functions, money laundering, obstruction of justice, and liability of legal persons, with good practices including extended confiscation powers, a national bank account register, innovative training for prosecutors and police, and online case management tools. Challenges remain in broadening the definition of public officials, strengthening whistle-blower protections, clarifying bribery and trading-in-influence provisions, extending liability of legal persons, ensuring prosecutorial independence, and improving confiscation, immunities, and sanctions. International cooperation frameworks on extradition",https://www.unodc.org/documents/treaties/UNCAC/WorkingGroups/ImplementationReviewGroup/ExecutiveSummaries/V1808272e.pdf,"The review highlighted Czechia’s anti-corruption framework through the Constitution, Criminal and Procedure Codes, AML and procurement laws, with oversight by the Government Anti-Corruption Council, Ministry of Justice, police, FIU, and other supervisory bodies. Good practices included the 2023–2026 Anti-Corruption Strategy, e-procurement, access to information, beneficial ownership and bank account registers, and AML risk assessments. However, the review noted challenges in ensuring institutional independence, regulating lobbying, strengthening conflict-of-interest and asset declaration systems, whistleblower protection, procurement transparency, and asset return mechanisms, recommending legislative reforms and stronger oversight.",https://www.unodc.org/documents/treaties/UNCAC/WorkingGroups/ImplementationReviewGroup/10-14June2024/CAC-COSP-IRG-II-2-1-Add.35/2401799E.pdf
DNK,Denmark,https://www.unodc.org/corruption/en/country-profiles/data/DNK.html,"The review highlighted enforcement through the Constitution, the Criminal Code, AML legislation, and institutions such as State Prosecutor for Serious Economic and International Crime (SØIK). The framework criminalizes bribery, trading in influence, embezzlement, money laundering, abuse of functions, obstruction of justice, and includes corporate liability. Strengths identified included comprehensive money-laundering provisions, extended confiscation powers, strong witness protection measures, and effective international cooperation. Nonetheless, the review pointed to gaps in the clarity of foreign bribery provisions, coverage of obstruction of justice, asset management systems, training and coordination, and the need to harmonize extradition and mutual legal assistance procedures. Recommendations focused on targeted legal reforms and strengthening institutional capacity.",https://www.unodc.org/documents/treaties/UNCAC/WorkingGroups/ImplementationReviewGroup/ExecutiveSummaries/V1605601e.pdf,In progress,
DOM,Dominican Republic,https://www.unodc.org/corruption/en/country-profiles/data/DOM.html,"Th review noted establishment of key institutions such as the Anti-Corruption Prosecution Directorate, the Ethics Department, the Office of the Comptroller-General, and the Financial Analysis Unit. Its legal framework criminalizes bribery, embezzlement, money laundering, and obstruction of justice. However, the review highlighted important shortcomings, including the absence of provisions on indirect bribery, abuse of functions, illicit enrichment, liability of legal persons, and comprehensive measures for confiscation, as well as limited protection for witnesses and whistleblowers. The recommendations stressed the need to close these gaps, enhance inter-agency coordination, and reinforce extradition, mutual legal assistance, and broader international cooperation.",https://www.unodc.org/documents/treaties/UNCAC/WorkingGroups/ImplementationReviewGroup/ExecutiveSummaries/V1383895e.pdf,"The review highlighted progress in strengthening the Dominican Republic’s anti-corruption framework through asset declarations, ethics codes, procurement reforms, transparency portals, and enhanced AML controls. However, it also noted gaps in conflict-of-interest regulation, whistleblower protection, procurement integrity, independent oversight, and the absence of a comprehensive national anti-corruption strategy. On asset recovery, while laws allow forfeiture and non-conviction-based confiscation, the review called for stronger mechanisms to freeze and return assets, expand scrutiny of politically exposed persons, and prevent shell bank practices.",https://track.unodc.org/uploads/documents/UNCAC/WorkingGroups/ImplementationReviewGroup/16-20June2025/CAC-COSP-IRG-2025-CRP.3.pdf
ECU,Ecuador,https://www.unodc.org/corruption/en/country-profiles/data/ECU.html,"The review highlighted the country’s progress in strengthening its legal framework through the Comprehensive Criminal Code, which criminalizes bribery, embezzlement, illicit enrichment, money laundering, and trading in influence. Advances noted included the removal of statutes of limitation for serious corruption offences, the adoption of robust AML measures, and the launch of a national anti-corruption plan. At the same time, the review identified gaps, such as the lack of criminalization of foreign bribery and private sector corruption, limited protections for whistleblowers, the need to broaden liability of legal persons, and the importance of reinforcing international cooperation, asset recovery, and inter-agency coordination.",https://www.unodc.org/documents/treaties/UNCAC/WorkingGroups/ImplementationReviewGroup/ExecutiveSummaries/V1610195e.pdf,In progress,
EST,Estonia,https://www.unodc.org/corruption/en/country-profiles/data/EST.html,"The review noted that the country's framework is grounded in the Constitution, the Penal Code, the Criminal Procedure Code, and anti-corruption and AML legislation, implemented by institutions including the Ministry of Justice, the Prosecutor’s Office, the Police, the Security Police, and the Financial Intelligence Unit. The legal system criminalizes bribery, embezzlement, partial trading in influence, private sector bribery, money laundering, obstruction of justice, and provides for corporate liability. Good practices highlighted included strong due diligence requirements for politically exposed persons, extended confiscation powers, and strict penalties for legal persons. Remaining challenges were identified in clarifying the distinction between gratuities and bribes, fully criminalizing trading in influence and conspiracy to launder, broadening the scope of private sector bribery, strengthening sanctions for legal persons, and ensuring parliamentarians are fully covered. While international cooperation frameworks were considered strong, the review recommended expanding the network of bilateral treaties.",https://www.unodc.org/documents/treaties/UNCAC/WorkingGroups/ImplementationReviewGroup/ExecutiveSummaries/V1255516e.pdf,In progress,
